,date,ordinal_date,dayofweek,day,time taken,start_time,end_time,time_taken,activity,strike,black,red,green,blue,activity status,planned
0,2018-03-01,0,Thursday,Thursday 1st March 2018,9,09:00:00,,,9: Take histo down to Nick in the store on lvl 1,True,True,False,False,False,done,True
2,2018-03-01,0,Thursday,Thursday 1st March 2018,10:30-1:30,10:30:00,13:30:00,180.0,10:30-1:30: Animal facilities induction,True,True,False,False,False,done,True
3,2018-03-01,0,Thursday,Thursday 1st March 2018,2-3,14:00:00,15:00:00,60.0,2-3: Microbiome meeting,True,True,False,False,False,done,True
4,2018-03-01,0,Thursday,Thursday 1st March 2018,2:30-5,14:30:00,17:00:00,150.0,2:30-5: KB22 Collagen Analysis,True,True,False,False,False,done,True
5,2018-03-02,1,Friday,Friday 2nd March 2018,9-4,09:00:00,16:00:00,420.0,9-4: BALF processing for endpoint (Alex),True,True,False,False,False,done,True
6,2018-03-02,1,Friday,Friday 2nd March 2018,,,,,Everything else postponed until next week.,False,True,False,False,False,done,True
7,2018-03-02,1,Friday,Friday 2nd March 2018,9:30-1,09:30:00,13:00:00,210.0,"9:30-1: KB22 RNA extraction, last samples!",False,False,True,False,False,not done,True
8,2018-03-02,1,Friday,Friday 2nd March 2018,9-5,09:00:00,17:00:00,480.0,9-5: PISA (Brit/Alex) Cancelled,False,False,True,False,False,not done,True
9,2018-03-02,1,Friday,Friday 2nd March 2018,Intermittent,,,,Intermittent: Collagen analysis. MLI images for Gang.,False,False,True,False,False,not done,True
10,2018-03-02,1,Friday,Friday 2nd March 2018,9-1,09:00:00,13:00:00,240.0,9-1: RT on 50 samples (Kurtis) Postponed because of PISA.,False,False,True,False,False,not done,True
12,2018-03-05,4,Monday,Monday 5th March 2018,9-1,09:00:00,13:00:00,240.0,"9-1: RNA extraction KB22 fat samples, last samples? No, 30 more.",True,True,False,False,False,done,True
13,2018-03-05,4,Monday,Monday 5th March 2018,,,,,MLI analysis for KB22,False,False,False,True,False,partly done,True
14,2018-03-05,4,Monday,Monday 5th March 2018,1:30-2:15,13:30:00,14:15:00,45.0,1:30-2:15: Setup new precision scale,False,False,False,False,True,done,False
15,2018-03-05,4,Monday,Monday 5th March 2018,2-5,14:00:00,17:00:00,180.0,2-5: MLI + Collagen images (Gang),True,True,True,False,False,partly done,True
16,2018-03-06,5,Tuesday,Tuesday 6th March 2018,9-1,09:00:00,13:00:00,240.0,9-1: RT on samples (Kurtis),False,False,True,False,False,not done,True
17,2018-03-06,5,Tuesday,Tuesday 6th March 2018,,,,,"KB22 MLI analysis, finish it! Finished it  ",True,True,False,False,False,done,True
18,2018-03-06,5,Tuesday,Tuesday 6th March 2018,2-5,14:00:00,17:00:00,180.0,2-5: MLI and Collagen analysis (Gang),False,True,True,True,False,partly done,True
19,2018-03-07,6,Wednesday,Wednesday 7th March 2018,,,,,Winc order for supplies.,True,True,False,False,False,done,True
20,2018-03-07,6,Wednesday,Wednesday 7th March 2018,,,,,Went home sick at 11am,False,True,False,False,False,note,True
21,2018-03-07,6,Wednesday,Wednesday 7th March 2018,,,,,Aliquot sPBS into 30mL containers.,False,False,True,False,False,not done,True
22,2018-03-07,6,Wednesday,Wednesday 7th March 2018,9-1,09:00:00,13:00:00,240.0,9-1: MLI and collagen analysis (Gang),False,False,True,True,False,partly done,True
23,2018-03-07,6,Wednesday,Wednesday 7th March 2018,9-5,09:00:00,17:00:00,480.0,9-5: KB22 Collagen image analysis,False,False,True,False,False,not done,True
24,2018-03-08,7,Thursday,Thursday 8th March 2018,9-1,09:00:00,13:00:00,240.0,9-1: MLI and collagen analysis (Gang),True,True,False,True,False,partly done,True
25,2018-03-08,7,Thursday,Thursday 8th March 2018,9-12,09:00:00,12:00:00,180.0,9-12: 40x micrographs of Ileum samples SS02 (Shakti),False,False,True,False,False,not done,True
26,2018-03-08,7,Thursday,Thursday 8th March 2018,1-5,13:00:00,17:00:00,240.0,1-5: Analysis of Ileum images SS02 (Shakti),False,False,True,False,False,not done,True
27,2018-03-09,8,Friday,Friday 9th March 2018,10-1,10:00:00,13:00:00,180.0,10-1: PIES 099 P-W V4,True,True,False,False,False,done,True
28,2018-03-09,8,Friday,Friday 9th March 2018,,,,,Help with endpoint (Tegan),False,False,False,False,True,done,False
29,2018-03-09,8,Friday,Friday 9th March 2018,,,,,Gang collagen analysis,False,False,True,False,False,not done,True
31,2018-03-12,11,Monday,Monday 12th March 2018,9-3,09:00:00,15:00:00,360.0,9-3: Gang collagen analysis ,True,True,False,False,False,done,True
32,2018-03-12,11,Monday,Monday 12th March 2018,3-4,15:00:00,16:00:00,60.0,3-4: Learning how to do external orders,True,True,False,False,False,done,True
33,2018-03-12,11,Monday,Monday 12th March 2018,4-5,16:00:00,17:00:00,60.0,4-5: KB22 Collagen analysis,False,False,True,False,False,not done,True
34,2018-03-13,12,Tuesday,Tuesday 13th March 2018,9-5,09:00:00,17:00:00,480.0,"9-5: 20x and 40x micrographs of Ileum samples SS02 (Shakti) More than expected, two sets of samples to go.",False,True,False,True,False,partly done,True
35,2018-03-14,13,Wednesday,Wednesday 14th March 2018,,,,,Arrive @ 8 am,False,True,False,False,False,done,True
36,2018-03-14,13,Wednesday,Wednesday 14th March 2018,8-10,08:00:00,10:00:00,120.0,8-10: 20x and 40x micrographs of Ileum samples SS02 (Shakti),True,True,False,False,False,done,True
37,2018-03-14,13,Wednesday,Wednesday 14th March 2018,10-1,10:00:00,13:00:00,180.0,10-1: PIES 110- JDK V2,True,True,False,False,False,done,True
38,2018-03-14,13,Wednesday,Wednesday 14th March 2018,In between PIES,,,,In between PIES: KB22 collagen,True,True,False,False,False,done,True
39,2018-03-14,13,Wednesday,Wednesday 14th March 2018,2,02:00:00,,,2: Leaving to go to dentist @3pm,False,True,False,False,False,done,True
40,2018-03-15,14,Thursday,Thursday 15th March 2018,9-5,09:00:00,17:00:00,480.0,9-5: KB22 Collagen analysis,False,True,False,False,False,done,True
41,2018-03-15,14,Thursday,Thursday 15th March 2018,,,,,"Plan for qPCRs SS02 – VEGF, IFNy in colon, ileum, and lung",False,False,False,False,True,done,False
42,2018-03-15,14,Thursday,Thursday 15th March 2018,12:30-5,12:30:00,17:00:00,270.0,"12:30-5: KB19 RNA extraction, do on Friday, today do…",False,True,True,False,False,not done,True
43,2018-03-15,14,Thursday,Thursday 15th March 2018,Lab chores,,,,"Lab chores: clean glassware, take stuff for autoclaving, make up PBS, aliquot RBCLB, do orders",True,True,False,False,False,done,True
44,2018-03-16,15,Friday,Friday 16th March 2018,9-12:30,09:00:00,12:30:00,210.0,"9-12:30: KB19 RNA extraction, last 11 samples",True,True,False,False,False,done,True
45,2018-03-16,15,Friday,Friday 16th March 2018,1-5,13:00:00,17:00:00,240.0,1-5: KB22 Collagen analysis,True,True,False,False,False,done,True
46,2018-03-16,15,Friday,Friday 16th March 2018,,,,,Ordering practice,True,True,False,False,False,done,True
48,2018-03-19,18,Monday,Monday 19th March 2018,9-5,09:00:00,17:00:00,480.0,"9-5: 2x 96 well plates qPCR: On Colon, and lung for VEGF",True,True,False,False,False,done,True
49,2018-03-19,18,Monday,Monday 19th March 2018,,,,,"KB22 Collagen analysis, by hand method for ACT and SCT samples",True,True,False,False,False,done,True
