,date,ordinal_date,dayofweek,day,start_time,end_time,time_taken,activity,activity status,planned
0,2018-03-01,0,Thursday,Thursday 1st March 2018,09:00:00,,,9: Take histo down to Nick in the store on lvl 1,done,True
2,2018-03-01,0,Thursday,Thursday 1st March 2018,10:30:00,13:30:00,180.0,10:30-1:30: Animal facilities induction,done,True
3,2018-03-01,0,Thursday,Thursday 1st March 2018,14:00:00,15:00:00,60.0,2-3: Microbiome meeting,done,True
4,2018-03-01,0,Thursday,Thursday 1st March 2018,14:30:00,17:00:00,150.0,2:30-5: KB22 Collagen Analysis,done,True
5,2018-03-02,1,Friday,Friday 2nd March 2018,09:00:00,16:00:00,420.0,9-4: BALF processing for endpoint (Alex),done,True
6,2018-03-02,1,Friday,Friday 2nd March 2018,,,,Everything else postponed until next week.,done,True
7,2018-03-02,1,Friday,Friday 2nd March 2018,09:30:00,13:00:00,210.0,"9:30-1: KB22 RNA extraction, last samples!",not done,True
8,2018-03-02,1,Friday,Friday 2nd March 2018,09:00:00,17:00:00,480.0,9-5: PISA (Brit/Alex) Cancelled,not done,True
9,2018-03-02,1,Friday,Friday 2nd March 2018,,,,Intermittent: Collagen analysis. MLI images for Gang.,not done,True
10,2018-03-02,1,Friday,Friday 2nd March 2018,09:00:00,13:00:00,240.0,9-1: RT on 50 samples (Kurtis) Postponed because of PISA.,not done,True
12,2018-03-05,4,Monday,Monday 5th March 2018,09:00:00,13:00:00,240.0,"9-1: RNA extraction KB22 fat samples, last samples? No, 30 more.",done,True
13,2018-03-05,4,Monday,Monday 5th March 2018,,,,MLI analysis for KB22,partly done,True
14,2018-03-05,4,Monday,Monday 5th March 2018,13:30:00,14:15:00,45.0,1:30-2:15: Setup new precision scale,done,False
15,2018-03-05,4,Monday,Monday 5th March 2018,14:00:00,17:00:00,180.0,2-5: MLI + Collagen images (Gang),partly done,True
16,2018-03-06,5,Tuesday,Tuesday 6th March 2018,09:00:00,13:00:00,240.0,9-1: RT on samples (Kurtis),not done,True
17,2018-03-06,5,Tuesday,Tuesday 6th March 2018,,,,"KB22 MLI analysis, finish it! Finished it  ",done,True
18,2018-03-06,5,Tuesday,Tuesday 6th March 2018,14:00:00,17:00:00,180.0,2-5: MLI and Collagen analysis (Gang),partly done,True
19,2018-03-07,6,Wednesday,Wednesday 7th March 2018,,,,Winc order for supplies.,done,True
20,2018-03-07,6,Wednesday,Wednesday 7th March 2018,,,,Went home sick at 11am,note,True
21,2018-03-07,6,Wednesday,Wednesday 7th March 2018,,,,Aliquot sPBS into 30mL containers.,not done,True
22,2018-03-07,6,Wednesday,Wednesday 7th March 2018,09:00:00,13:00:00,240.0,9-1: MLI and collagen analysis (Gang),partly done,True
23,2018-03-07,6,Wednesday,Wednesday 7th March 2018,09:00:00,17:00:00,480.0,9-5: KB22 Collagen image analysis,not done,True
24,2018-03-08,7,Thursday,Thursday 8th March 2018,09:00:00,13:00:00,240.0,9-1: MLI and collagen analysis (Gang),partly done,True
25,2018-03-08,7,Thursday,Thursday 8th March 2018,09:00:00,12:00:00,180.0,9-12: 40x micrographs of Ileum samples SS02 (Shakti),not done,True
26,2018-03-08,7,Thursday,Thursday 8th March 2018,13:00:00,17:00:00,240.0,1-5: Analysis of Ileum images SS02 (Shakti),not done,True
27,2018-03-09,8,Friday,Friday 9th March 2018,10:00:00,13:00:00,180.0,10-1: PIES 099 P-W V4,done,True
28,2018-03-09,8,Friday,Friday 9th March 2018,,,,Help with endpoint (Tegan),done,False
29,2018-03-09,8,Friday,Friday 9th March 2018,,,,Gang collagen analysis,not done,True
31,2018-03-12,11,Monday,Monday 12th March 2018,09:00:00,15:00:00,360.0,9-3: Gang collagen analysis ,done,True
32,2018-03-12,11,Monday,Monday 12th March 2018,15:00:00,16:00:00,60.0,3-4: Learning how to do external orders,done,True
33,2018-03-12,11,Monday,Monday 12th March 2018,16:00:00,17:00:00,60.0,4-5: KB22 Collagen analysis,not done,True
34,2018-03-13,12,Tuesday,Tuesday 13th March 2018,09:00:00,17:00:00,480.0,"9-5: 20x and 40x micrographs of Ileum samples SS02 (Shakti) More than expected, two sets of samples to go.",partly done,True
35,2018-03-14,13,Wednesday,Wednesday 14th March 2018,,,,Arrive @ 8 am,done,True
36,2018-03-14,13,Wednesday,Wednesday 14th March 2018,08:00:00,10:00:00,120.0,8-10: 20x and 40x micrographs of Ileum samples SS02 (Shakti),done,True
37,2018-03-14,13,Wednesday,Wednesday 14th March 2018,10:00:00,13:00:00,180.0,10-1: PIES 110- JDK V2,done,True
38,2018-03-14,13,Wednesday,Wednesday 14th March 2018,,,,In between PIES: KB22 collagen,done,True
39,2018-03-14,13,Wednesday,Wednesday 14th March 2018,02:00:00,,,2: Leaving to go to dentist @3pm,done,True
40,2018-03-15,14,Thursday,Thursday 15th March 2018,09:00:00,17:00:00,480.0,9-5: KB22 Collagen analysis,done,True
41,2018-03-15,14,Thursday,Thursday 15th March 2018,,,,"Plan for qPCRs SS02 – VEGF, IFNy in colon, ileum, and lung",done,False
42,2018-03-15,14,Thursday,Thursday 15th March 2018,12:30:00,17:00:00,270.0,"12:30-5: KB19 RNA extraction, do on Friday, today do…",not done,True
43,2018-03-15,14,Thursday,Thursday 15th March 2018,,,,"Lab chores: clean glassware, take stuff for autoclaving, make up PBS, aliquot RBCLB, do orders",done,True
44,2018-03-16,15,Friday,Friday 16th March 2018,09:00:00,12:30:00,210.0,"9-12:30: KB19 RNA extraction, last 11 samples",done,True
45,2018-03-16,15,Friday,Friday 16th March 2018,13:00:00,17:00:00,240.0,1-5: KB22 Collagen analysis,done,True
46,2018-03-16,15,Friday,Friday 16th March 2018,,,,Ordering practice,done,True
48,2018-03-19,18,Monday,Monday 19th March 2018,09:00:00,17:00:00,480.0,"9-5: 2x 96 well plates qPCR: On Colon, and lung for VEGF",done,True
49,2018-03-19,18,Monday,Monday 19th March 2018,,,,"KB22 Collagen analysis, by hand method for ACT and SCT samples",done,True
50,2018-03-20,19,Tuesday,Tuesday 20th March 2018,09:00:00,13:00:00,240.0,9-1: KB19 RT on KB19 RNA extractions,not done,True
51,2018-03-20,19,Tuesday,Tuesday 20th March 2018,,,,CD18 BALF counts (Chantal),not done,True
52,2018-03-20,19,Tuesday,Tuesday 20th March 2018,,,,KB22 Collagen analysis using imagej functions on ACV and SCV samples.,done,True
53,2018-03-20,19,Tuesday,Tuesday 20th March 2018,,,,Ordering,done,True
54,2018-03-20,19,Tuesday,Tuesday 20th March 2018,15:00:00,17:00:00,120.0,3-5: qPCR Ileum VEGF,done,True
55,2018-03-21,20,Wednesday,Wednesday 21st March 2018,09:00:00,10:00:00,60.0,9-10: Process order for Chantal,done,False
56,2018-03-21,20,Wednesday,Wednesday 21st March 2018,10:00:00,12:00:00,120.0,10-12: CD18 BALF counts (Chantal),done,True
57,2018-03-21,20,Wednesday,Wednesday 21st March 2018,09:00:00,17:00:00,480.0,"9-5: 2x 96 well plates qPCR: On Colon, and lung for GM-CSF",done,True
58,2018-03-22,21,Thursday,Thursday 22nd March 2018,09:00:00,12:00:00,180.0,9-12: Various housekeeping and others: ,done,True
59,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,Troubleshoot failed qPCRs: nanodrop some samples and do single tube PCRs – see lab book p22,done,True
60,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,Process Delivery slips,done,True
61,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,"Check Vrushali’s orange histology boxes, tracked down original supplier and emailed thermosfisher asking for a free sample box",done,True
62,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,Ask HMRI FM about 2x extension cables for power outage on friday morning,done,True
63,2018-03-22,21,Thursday,Thursday 22nd March 2018,09:00:00,17:00:00,480.0,"9-5: 2x 96 well plates qPCR: On Colon, and lung for IL-17a",not done,True
64,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,KB22 Collagen analysis,done,True
65,2018-03-22,21,Thursday,Thursday 22nd March 2018,05:00:00,,,5: Double check to make sure old -20C freezer and the chest freezer inside the bacterial lab are on red powerpoints,done,True
66,2018-03-22,21,Thursday,Thursday 22nd March 2018,16:00:00,17:00:00,60.0,4-5: qPCR on Ileum VEGF (repeat)  This worked! All good.,done,True
67,2018-03-23,22,Friday,Friday 23rd March 2018,,,,"Other times: Ordering, Return extension cable, KB22 Collagen analysis",done,False
68,2018-03-23,22,Friday,Friday 23rd March 2018,12:00:00,13:00:00,60.0,12-1: IL-17a gradient test,done,True
69,2018-03-23,22,Friday,Friday 23rd March 2018,,,,Aliquot sPBS,done,False
70,2018-03-23,22,Friday,Friday 23rd March 2018,16:00:00,17:00:00,60.0,4-5: 1x 96 well plates qPCR: On Lung GMCSF,done,True
72,2018-03-26,25,Monday,Monday 26th March 2018,10:30:00,11:00:00,30.0,"10:30-11: Make sense of IL-17a temperature gradient data, we need to design new primers for this gene",done,True
73,2018-03-26,25,Monday,Monday 26th March 2018,09:00:00,17:00:00,480.0,"9-5: 2x 96 well plates qPCR: On Colon, and lung for IL-17a",not done,True
74,2018-03-26,25,Monday,Monday 26th March 2018,09:00:00,10:30:00,90.0,"9-10:30: Ordering, deliveries",done,False
75,2018-03-26,25,Monday,Monday 26th March 2018,11:00:00,15:30:00,270.0,11-3:30: KB22 Collagen analysis,done,True
76,2018-03-26,25,Monday,Monday 26th March 2018,,,,"Sometime today: Microbiome group meeting, postponed till tomorrow sometime",not done,True
77,2018-03-26,25,Monday,Monday 26th March 2018,15:30:00,17:00:00,90.0,"3:30-5: 96 well qPCR, Lung GM-CSF (attempt 2)",done,True
79,2018-03-27,26,Tuesday,Tuesday 27th March 2018,,,,Sometime today: Microbiome group meeting,done,False
80,2018-03-27,26,Tuesday,Tuesday 27th March 2018,,,,Sometime today: Brit will show me how to order primers,not done,True
81,2018-03-27,26,Tuesday,Tuesday 27th March 2018,,,,Just before 1pm: Check if endpoint people need more LN2. Got them more LN2.,done,True
82,2018-03-27,26,Tuesday,Tuesday 27th March 2018,13:00:00,14:00:00,60.0,"1-2: 96 well qPCR, Colon IFNγ",done,True
83,2018-03-27,26,Tuesday,Tuesday 27th March 2018,16:00:00,17:00:00,60.0,"4-5: 96 well qPCR, Lung IFNγ",not done,True
84,2018-03-27,26,Tuesday,Tuesday 27th March 2018,,,,Fill rest of time with: Collagen analysis,done,True
86,2018-03-28,27,Wednesday,Wednesday 28th March 2018,16:00:00,17:00:00,60.0,"4-5: 96 well qPCR, Lung IFNγ on hold, until issue with IFNy can be fixed.",not done,True
87,2018-03-28,27,Wednesday,Wednesday 28th March 2018,13:00:00,14:00:00,60.0,1-2: Test qPCR IFNγ (my working stock vs Jemma working stock) on cDNA from SS02 and from a confirmed experiment by Jemma,done,False
88,2018-03-28,27,Wednesday,Wednesday 28th March 2018,16:00:00,17:00:00,60.0,4-5: Proofreading microbiome review paper,done,False
89,2018-03-28,27,Wednesday,Wednesday 28th March 2018,,,, [PCR for Shakti],note,True
90,2018-03-28,27,Wednesday,Wednesday 28th March 2018,,,,Collagen analysis KB22,done,True
91,2018-03-29,28,Thursday,Thursday 29th March 2018,,,,Solve IFNy primer issue – solved! ,done,False
92,2018-03-29,28,Thursday,Thursday 29th March 2018,,,,Investigate Lizzy Mann paper methodology,done,False
93,2018-03-29,28,Thursday,Thursday 29th March 2018,,,,Collagen analysis KB22,done,False
94,2018-04-03,33,Tuesday,Tuesday 3rd April 2018,,,,UoN concession day,done,True
95,2018-04-04,34,Wednesday,Wednesday 4th April 2018,09:00:00,11:00:00,120.0,9-11: Design and order IFNy and IL-17a primers (Shakti),not done,True
96,2018-04-04,34,Wednesday,Wednesday 4th April 2018,11:00:00,12:00:00,60.0,11-12: Finish KB22 Collagen analysis (Kurtis),done,True
97,2018-04-04,34,Wednesday,Wednesday 4th April 2018,13:00:00,14:00:00,60.0,1-2: Meeting with Shakti about things to do,done,True
98,2018-04-04,34,Wednesday,Wednesday 4th April 2018,,,,"
",done,True
99,2018-04-04,34,Wednesday,Wednesday 4th April 2018,,,,Tube labelling KB20 Faeces,done,False
100,2018-04-04,34,Wednesday,Wednesday 4th April 2018,,,,Deliveries sheets,done,False
101,2018-04-04,34,Wednesday,Wednesday 4th April 2018,14:00:00,17:00:00,180.0,2-5: KB19 RT-PCR (Kurtis),not done,True
102,2018-04-05,35,Thursday,Thursday 5th April 2018,,,,Plan PCRs for Shakti,partly done,True
103,2018-04-05,35,Thursday,Thursday 5th April 2018,,,,Design IFNy and IL-17a primers (Shakti),partly done,True
104,2018-04-05,35,Thursday,Thursday 5th April 2018,,,,Re-run IFNy test PCR since yesterday’s didn’t work. Worked! Confirms that current primers are not working.,done,True
105,2018-04-05,35,Thursday,Thursday 5th April 2018,,,,Tube labelling KB20 Faeces,done,True
106,2018-04-05,35,Thursday,Thursday 5th April 2018,13:00:00,17:00:00,240.0,1-5: Help Alex and Richard with endpoint (Alex),done,True
107,2018-04-06,36,Friday,Friday 6th April 2018,,,,"[Bereavement leave, funeral]",note,True
108,2018-04-09,39,Monday,Monday 9th April 2018,,,,Was sick.,note,True
109,2018-04-09,39,Monday,Monday 9th April 2018,09:00:00,09:10:00,10.0,9-9:10: Check on old bacto lab -20C.,not done,True
110,2018-04-09,39,Monday,Monday 9th April 2018,09:10:00,10:00:00,50.0,9:10-10: Freezer inventory -80C,not done,True
111,2018-04-09,39,Monday,Monday 9th April 2018,10:00:00,12:00:00,120.0,10-12: Design IFNy and IL-17a primers (Shakti),not done,True
112,2018-04-09,39,Monday,Monday 9th April 2018,13:00:00,15:00:00,120.0,1-3: Lab chores,not done,True
113,2018-04-10,40,Tuesday,Tuesday 10th April 2018,09:00:00,10:00:00,60.0,9-10: -80C freezer inventory (Lab),done,True
